id,source,created_at,collected_at,toxicity_score,category,annotator_id,gender,year_of_birth,education_level,annotator_type,age,background
c779826dc43f460cb18e8429ca443477,YouTube,2010-07-19T06:03:21,2022-04-08T08:03:44.134767,0.8785,,,,,,,,
c779826dc43f460cb18e8429ca443477,,,,,,126.0,Male,1997.0,High school,Contract worker,,
c779826dc43f460cb18e8429ca443477,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
c779826dc43f460cb18e8429ca443477,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
a3d7839456ae4258a70298fcf637952e,YouTube,2015-06-02T03:05:43,2022-04-08T08:03:44.134767,0.8576,,,,,,,,
a3d7839456ae4258a70298fcf637952e,,,,,,126.0,Male,1997.0,High school,Contract worker,,
a3d7839456ae4258a70298fcf637952e,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
a3d7839456ae4258a70298fcf637952e,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
b830374760cc44789f1493c6b228ebc1,YouTube,2022-02-09T01:27:12,2022-04-08T08:03:44.134767,0.9716,,,,,,,,
b830374760cc44789f1493c6b228ebc1,,,,,,126.0,Male,1997.0,High school,Contract worker,,
b830374760cc44789f1493c6b228ebc1,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
b830374760cc44789f1493c6b228ebc1,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
73299805588d424fa2905eaf9e616cf1,ToLD-BR,2020-10-05T14:08:00,2022-02-13T09:48:20.725673,0.925,,,,,,,,
73299805588d424fa2905eaf9e616cf1,,,,,,126.0,Male,1997.0,High school,Contract worker,,
73299805588d424fa2905eaf9e616cf1,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
73299805588d424fa2905eaf9e616cf1,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
862cf8f819814e47bb4e7f6b4b0afc73,YouTube,2020-05-03T19:38:24,2022-04-08T08:03:44.134767,0.8534,,,,,,,,
862cf8f819814e47bb4e7f6b4b0afc73,,,,,,126.0,Male,1997.0,High school,Contract worker,,
862cf8f819814e47bb4e7f6b4b0afc73,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
862cf8f819814e47bb4e7f6b4b0afc73,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
dc0c8c8060014c51a91f825a66e2eec9,Twitter,2022-03-27T04:01:56+00:00,2022-03-27T00:52:43.398462,0.9304,,,,,,,,
dc0c8c8060014c51a91f825a66e2eec9,,,,,,126.0,Male,1997.0,High school,Contract worker,,
dc0c8c8060014c51a91f825a66e2eec9,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
dc0c8c8060014c51a91f825a66e2eec9,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
958e2e318f2c4dc494275e45d062fd3d,YouTube,2015-06-05T04:14:23,2022-04-08T08:03:44.134767,0.7182,,,,,,,,
958e2e318f2c4dc494275e45d062fd3d,,,,,,126.0,Male,1997.0,High school,Contract worker,,
958e2e318f2c4dc494275e45d062fd3d,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
958e2e318f2c4dc494275e45d062fd3d,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
c6a30f5a906b4d92b1c73fa504c02290,Twitter,2022-03-27T04:41:44+00:00,2022-03-27T00:52:43.398462,0.8004,,,,,,,,
c6a30f5a906b4d92b1c73fa504c02290,,,,,,126.0,Male,1997.0,High school,Contract worker,,
c6a30f5a906b4d92b1c73fa504c02290,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
c6a30f5a906b4d92b1c73fa504c02290,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
bbfe39048f9b4eff80b425e26b46cda6,YouTube,2022-03-25T01:07:04,2022-04-08T08:03:44.134767,0.8873,,,,,,,,
bbfe39048f9b4eff80b425e26b46cda6,,,,,,126.0,Male,1997.0,High school,Contract worker,,
bbfe39048f9b4eff80b425e26b46cda6,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
bbfe39048f9b4eff80b425e26b46cda6,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
396d5049c82c430a9f4fa5694c00cbd2,Twitter,2021-12-23T13:03:08+00:00,2021-12-28T09:27:13.610956,0.8675,,,,,,,,
396d5049c82c430a9f4fa5694c00cbd2,,,,,,126.0,Male,1997.0,High school,Contract worker,,
396d5049c82c430a9f4fa5694c00cbd2,,,,,,127.0,Female,1975.0,Master's degree,Contract worker,,
396d5049c82c430a9f4fa5694c00cbd2,,,,,,128.0,Female,1992.0,Master's degree,Contract worker,,
